Rank,Released,Released Worldwide,Release Year,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
36,"Jul 15, 2016","Jul 13, 2016",2016,Ghostbusters,Sony Pictures,Comedy,Original Screenplay,Animation/Live Action,Science Fiction,144000000,3963,3963,18792,46018755,128350574,167820234,100658084,229008658
37,"Dec 25, 2016","Dec 25, 2016",2016,Hidden Figures,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,25000000,25,3416,29233,515499,169607287,213945344,58761843,228369130
38,"Oct 28, 2016","Oct 5, 2016",2016,Inferno,Sony Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,75000000,3576,3576,11459,14860425,34343574,44899027,185175793,219519367
39,"Jun 17, 2016","Jun 16, 2016",2016,Central Intelligence,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,50000000,3508,3508,18681,35535250,127440871,166630784,89753934,217194805
40,"Jun 3, 2016","Jun 1, 2016",2016,Me Before You,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000,2704,2762,11324,18723269,56245075,73541251,152200000,208445075
41,"Sep 16, 2016","Sep 6, 2016",2016,Bridget Jones s Baby,Universal,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,35000000,2927,2930,9521,8571785,24139805,31563145,183158578,207298383
42,"Nov 11, 2016","Nov 9, 2016",2016,Arrival,Paramount Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Science Fiction,47000000,2317,3115,20118,24074047,100546139,131051786,101563337,202109476
43,"Jul 1, 2016","Jun 30, 2016",2016,The BFG,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,140000000,3357,3392,11626,18775350,55483770,72545835,144162910,199646680
44,"Mar 4, 2016","Mar 2, 2016",2016,London Has Fallen,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,60000000,3490,3492,15999,21635601,62524260,81751372,132669825,195194085
45,"Feb 5, 2016","Feb 4, 2016",2016,The Monkey King 2,China Lion Film Distribution,Action,Based on Fiction Book/Short Story,Live Action,Fantasy,60000000,38,38,73,166391,709982,928313,193348521,194058503
46,"Sep 23, 2016","Sep 22, 2016",2016,Storks,Warner Bros.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,70000000,3922,3922,21929,21311407,72679278,95016870,111000000,183679278
47,"Dec 31, 2016","Feb 4, 2016",2016,Du cheng feng yun III,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,182579909,182579909
48,"Jul 29, 2016","Jul 29, 2016",2016,Bad Moms,STX Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,20000000,3215,3215,22774,23817340,113257297,148085551,67228304,180485601
49,"Sep 30, 2016","Sep 29, 2016",2016,Operation Mekong,Well Go USA,Action,Based on Real Life Events,Live Action,Dramatization,0,25,29,93,85082,800012,1046028,173479240,174279252
50,"Oct 7, 2016","Oct 5, 2016",2016,The Girl on the Train,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,45000000,3144,3241,15948,24536265,75395035,98580098,98883179,174278214
51,"Mar 18, 2016","Mar 9, 2016",2016,The Divergent Series: Allegiant,Lionsgate,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,110000000,3740,3740,16464,29027348,66184051,86536599,105838466,172022517
52,"Nov 4, 2016","Nov 3, 2016",2016,Hacksaw Ridge,Lionsgate,Drama,Based on Real Life Events,Live Action,Dramatization,40000000,2886,2971,19682,15190758,67209615,87749438,101213634,168423249
53,"Aug 30, 2016","Jul 4, 2015",2016,Xi you ji zhi da sheng gui lai,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,166968128,166968128
54,"Apr 22, 2016","Apr 6, 2016",2016,The Huntsman: Winter s War,Universal,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,115000000,3791,3802,14940,19445035,48003015,62764641,117146287,165149302
55,"Sep 23, 2016","Sep 12, 2016",2016,The Magnificent Seven,Sony Pictures,Western,Original Screenplay,Live Action,Historical Fiction,90000000,3674,3696,19075,34703397,93432655,122163970,68689987,162122642
56,"Oct 21, 2016","Oct 20, 2016",2016,Jack Reacher: Never Go Back,Paramount Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,60000000,3780,3780,15887,22872490,58697076,76740273,101249413,159946489
57,"Aug 26, 2016","Aug 25, 2016",2016,Don t Breathe,Sony Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,10000000,3051,3384,19498,26411706,89217875,116653659,69688475,158906350
58,"Jan 22, 2016","Dec 24, 2015",2016,Yip Man 3,Well Go USA,Action,Based on Real Life Events,Live Action,Historical Fiction,36000000,103,115,441,784839,2679437,3503408,154621517,157300954
59,"Oct 14, 2016","Oct 11, 2016",2016,The Accountant,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,40000000,3332,3402,19015,24710273,86260045,112767440,69300000,155560045
60,"Jul 22, 2016","Jul 21, 2016",2016,Lights Out,Warner Bros.,Horror,Based on Short Film,Live Action,Contemporary Fiction,5000000,2818,2835,12695,21688103,67268835,87954975,82100000,149368835
61,"Nov 25, 2016","Nov 25, 2016",2016,Lion,Weinstein Co.,Drama,Based on Factual Book/Article,Live Action,Dramatization,12000000,4,1802,13311,123360,51739495,65484154,97378405,149117900
62,"Aug 26, 2016","Aug 4, 2016",2016,Time Raiders,Asia Releasing,Adventure,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,145974597,145974597
63,"Aug 12, 2016","Aug 10, 2016",2016,Sausage Party,Sony Pictures,Comedy,Original Screenplay,Digital Animation,Fantasy,19000000,3103,3135,17395,34263534,97670358,127705406,43673897,141344255
64,"Feb 26, 2016","Feb 24, 2016",2016,Gods of Egypt,Lionsgate,Adventure,Original Screenplay,Live Action,Fantasy,140000000,3117,3117,10965,14123903,31153464,40733610,107683292,138836756
65,"Aug 12, 2016","Aug 10, 2016",2016,Pete s Dragon,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,65000000,3702,3702,21576,21514095,76233151,99675946,61535824,137768975
66,"Sep 2, 2016","Jul 19, 2016",2016,Skiptrace,Saban Films,Action,Original Screenplay,Live Action,Contemporary Fiction,0,1,1,1,1202,1792,2341,131200745,131202537
67,"Aug 26, 2016","Aug 25, 2016",2016,Mechanic: Resurrection,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,40000000,2258,2258,8138,7456525,21218403,27743373,104511232,125729635
68,"Jan 15, 2016","Jan 14, 2016",2016,Ride Along 2,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,40000000,3175,3192,15857,35243095,90862685,118804278,33964631,124827316
69,"Sep 30, 2016","Sep 29, 2016",2016,Deepwater Horizon,Lionsgate,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,156000000,3259,3403,16674,20223544,61433527,80325226,60899591,122333118
70,"Sep 30, 2016","Sep 28, 2016",2016,I Belonged to You,China Lion Film Distribution,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,0,50,79,0,743507,972151,118675362,119418869
71,"Nov 23, 2016","Nov 20, 2016",2016,Allied,Paramount Pictures,Drama,Original Screenplay,Live Action,Historical Fiction,106000000,3160,3160,11698,12701743,40098064,52402849,79168597,119266661
72,"Jun 24, 2016","Jun 23, 2016",2016,The Shallows,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,13000000,2962,2962,11298,16800868,55121623,72072319,63641819,118763442
73,"Jul 1, 2016","Jul 1, 2016",2016,The Purge: Election Year,Universal,Horror,Original Screenplay,Live Action,Science Fiction,10000000,2796,2821,10822,31515110,79042440,103349129,39472287,118514727
74,"Dec 23, 2016","Dec 21, 2016",2016,Why Him,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,38000000,2970,3008,13323,11002986,60323786,77489334,57101370,117425156
75,"Dec 31, 2016","Apr 29, 2016",2016,Finding Mr Right 2,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,116100802,116100802
76,"Jan 15, 2016","Jan 15, 2015",2016,Detective Chinatown,China Lion Film Distribution,Action,Original Screenplay,Live Action,Contemporary Fiction,0,33,36,68,280281,459832,601240,115142993,115602825
77,"Dec 9, 2016","Dec 8, 2016",2016,Office Christmas Party,Paramount Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,45000000,3210,3210,12535,16890204,54767494,71378292,60330380,115097874
78,"Feb 12, 2016","Feb 8, 2016",2016,How to be Single,Warner Bros.,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,37000000,3343,3357,13088,17878911,46843513,61248570,65700000,112543513
79,"Jan 22, 2016","Jan 14, 2016",2016,The 5th Wave,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,38000000,2908,2908,12484,10326356,34912982,45649230,76423416,111336398
80,"May 20, 2016","May 5, 2016",2016,Neighbors 2: Sorority Rising,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,35000000,3384,3416,11725,21760405,55340730,72358801,53416891,108757621
81,"Mar 11, 2016","Jan 4, 2016",2016,10 Cloverfield Lane,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,15000000,3391,3427,16734,24727437,72082999,94249566,36203423,108286422
82,"Jan 22, 2016","Jan 21, 2016",2016,Dirty Grandpa,Lionsgate,Comedy,Original Screenplay,Live Action,Contemporary Fiction,11500000,2912,2912,11527,11111875,35593113,46538512,69485336,105078449
83,"Jul 8, 2016","Jul 7, 2016",2016,Cold War 2,Well Go USA,Action,Original Screenplay,Live Action,Contemporary Fiction,0,22,23,64,157385,560824,733284,103968662,104529486
84,"Feb 12, 2016","Jul 29, 2015",2016,The Little Prince,Entertainment One,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,77500000,52,163,851,116927,1311213,1714426,99969998,101281211
85,"Jul 5, 2016","Sep 30, 2015",2016,Jiu ceng yao ta,,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,0,0,0,0,0,0,0,99120000,99120000
86,"Jul 22, 2016","Jun 30, 2016",2016,Train to Busan,Well Go USA,Horror,Original Screenplay,Live Action,Science Fiction,8500000,27,36,286,284776,2129768,2784522,93486497,95616265
87,"May 10, 2016","Jun 17, 2015",2016,Sha po long 2,Well Go USA,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,94809560,94809560
88,"May 13, 2016","May 12, 2016",2016,Money Monster,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,27000000,3104,3104,11438,14788157,41012075,53623877,52454020,93466095
89,"Mar 25, 2016","Mar 23, 2016",2016,My Big Fat Greek Wedding 2,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,18000000,3133,3179,16199,17861950,59689605,78045017,32406953,92096558
90,"Aug 19, 2016","Jun 30, 2016",2016,Ben-Hur,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Live Action,Historical Fiction,95000000,3084,3084,10111,11203815,26410477,34532077,65259171,91669648
91,"Aug 19, 2016","Aug 10, 2016",2016,Line Walker,Asia Releasing,Action,Based on TV,Live Action,Contemporary Fiction,10800000,0,0,0,0,0,0,89569657,89569657
92,"Dec 16, 2016","Dec 16, 2016",2016,Collateral Beauty,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,36000000,3528,3528,11425,7102085,31016021,40242608,57500000,88516021
93,"Aug 19, 2016","Aug 19, 2016",2016,War Dogs,Warner Bros.,Black Comedy,Based on Factual Book/Article,Live Action,Dramatization,50000000,3258,3258,12928,14685305,43034523,56268257,43400000,86434523
94,"Jul 27, 2016","Jul 27, 2016",2016,Nerve,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000,2538,2538,9683,9445456,38583626,50448651,47000319,85583945
95,"Oct 21, 2016","Oct 20, 2016",2016,Ouija: Origin of Evil,Universal,Horror,Based on Game,Live Action,Historical Fiction,9000000,3167,3168,10634,14065500,35144505,45951953,46687361,81831866
96,"Oct 11, 2016","Jul 29, 2016",2016,Shin Godjira,FUNimation,Action,Based on Fiction Book/Short Story,Animation/Live Action,Science Fiction,0,34,1290,2537,451293,5950174,6536917,73696748,79646922
97,"Apr 8, 2016","Apr 7, 2016",2016,The Boss,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,29000000,3480,3495,17643,23586645,63077560,82474816,15574647,78652207
98,"Nov 18, 2016","Nov 17, 2016",2016,Manchester by the Sea,Roadside Attractions,Drama,Original Screenplay,Live Action,Contemporary Fiction,8500000,4,1213,10502,256498,47695371,61399615,30038496,77733867
99,"Aug 19, 2016","Aug 18, 2016",2016,Kubo and the Two Strings,Focus Features,Adventure,Original Screenplay,Stop-Motion Animation,Fantasy,55000000,3260,3279,16409,12608372,48023088,62790881,29525034,77548122
100,"Jul 8, 2016","Jul 7, 2016",2016,Mike and Dave Need Wedding Dates,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,33000000,2982,3008,10094,16628170,46009673,60158308,29888427,75898100
1,"Dec 15, 2017","Dec 13, 2017",2017,Star Wars Ep. VIII: The Last Jedi,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,262000000,4232,4232,28185,220009584,620181382,779972751,702399689,1322581071
2,"Mar 17, 2017","Mar 16, 2017",2017,Beauty and the Beast,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,160000000,4210,4210,35923,174750616,504014165,635496120,755747521,1259761686
3,"Apr 14, 2017","Apr 7, 2017",2017,The Fate of the Furious,Universal,Action,Original Screenplay,Live Action,Contemporary Fiction,250000000,4310,4329,24612,98786705,225764765,284659920,963244567,1189009332
4,"Jun 30, 2017","Jun 14, 2017",2017,Despicable Me 3,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,75000000,4529,4535,35489,72434025,264624300,333656728,768185357,1032809657
5,"Dec 20, 2017","Dec 20, 2017",2017,Jumanji: Welcome to the Jungle,Sony Pictures,Adventure,Original Screenplay,Live Action,Science Fiction,90000000,3765,3849,43252,36169328,404508916,505469653,557123891,961632807
6,"Jul 7, 2017","Jul 5, 2017",2017,Spider-Man: Homecoming,Sony Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,175000000,4348,4348,35314,117027503,334580976,421763880,544271773,878852749
7,"May 5, 2017","Apr 28, 2017",2017,Guardians of the Galaxy Vol 2,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,200000000,4347,4347,30496,146510104,389813101,491503477,479274862,869087963
8,"Nov 3, 2017","Oct 25, 2017",2017,Thor: Ragnarok,Walt Disney,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,180000000,4080,4080,26570,122744989,315058289,397173134,535424489,850482778
9,"Jun 2, 2017","May 29, 2017",2017,Wonder Woman,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,150000000,4165,4165,38939,103251471,412563408,520188645,410400000,822963408
10,"Jul 28, 2017","Jul 27, 2017",2017,Wolf Warrior 2 2,The H Collective,Action,Original Screenplay,Live Action,Contemporary Fiction,0,53,53,268,219022,2721100,3430956,813019736,815740836
11,"Nov 22, 2017","Oct 27, 2017",2017,Coco,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,175000000,3987,3987,30754,50802605,210460015,264762248,585675821,796135836
12,"May 26, 2017","May 23, 2017",2017,Pirates of the Caribbean: Dead Men Te,Walt Disney,Adventure,Based on Theme Park Ride,Animation/Live Action,Historical Fiction,230000000,4276,4276,22128,62983253,172558876,217574236,622302918,794861794
13,"Sep 8, 2017","Aug 31, 2017",2017,It,Warner Bros.,Horror,Based on Fiction Book/Short Story,Live Action,Historical Fiction,35000000,4103,4148,30627,123403419,328828874,414575084,375300000,704128874
14,"Nov 17, 2017","Nov 13, 2017",2017,Justice League,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,300000000,4051,4051,22381,93842239,229024295,288702362,432300000,661324295
15,"Mar 3, 2017","Feb 23, 2017",2017,Logan,20th Century Fox,Action,Spin-Off,Live Action,Super Hero,127000000,4071,4071,23365,88411916,226277068,285305868,387925247,614202315
16,"Jun 21, 2017","Jun 20, 2017",2017,Transformers: The Last Knight,Paramount Pictures,Action,Based on TV,Animation/Live Action,Science Fiction,217000000,4069,4132,16129,44680073,130168683,164125732,472724657,602893340
17,"Mar 10, 2017","Feb 23, 2017",2017,Kong: Skull Island,Warner Bros.,Adventure,Original Screenplay,Live Action,Science Fiction,185000000,3846,3846,23268,61025472,168052812,211892680,402800000,570852812
18,"Jul 21, 2017","Jul 18, 2017",2017,Dunkirk,Warner Bros.,Action,Original Screenplay,Live Action,Dramatization,150000000,3720,4014,29843,50513488,190068280,239618455,338000000,528068280
19,"Mar 31, 2017","Mar 17, 2017",2017,The Boss Baby,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,125000000,3773,3829,31488,50198902,175003033,220655996,352906916,527909949
20,"Jul 14, 2017","Jul 14, 2017",2017,War for the Planet of the Apes,20th Century Fox,Action,Original Screenplay,Animation/Live Action,Science Fiction,152000000,4022,4100,22157,56262929,146880162,185196726,342712105,489592267
21,"Dec 20, 2017","Dec 11, 2017",2017,The Greatest Showman,20th Century Fox,Musical,Based on Real Life Events,Live Action,Dramatization,84000000,3006,3342,32236,8805843,174340174,217392259,254455826,428796000
22,"Jun 9, 2017","Jun 2, 2017",2017,The Mummy,Universal,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,195000000,4035,4035,14901,31668375,80101125,100997067,329852780,409953905
23,"Sep 22, 2017","Sep 19, 2017",2017,Kingsman: The Golden Circle,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,104000000,4003,4038,20465,39023010,100234838,126382905,308568858,408803696
24,"Jun 16, 2017","Jun 16, 2017",2017,Cars 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,175000000,4256,4256,24083,53688680,152901115,192788360,230640254,383541369
25,"Feb 10, 2017","Feb 8, 2017",2017,Fifty Shades Darker,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,55000000,3710,3714,15139,46607250,114434010,144286364,266933036,381367046
26,"Apr 7, 2017","Aug 26, 2016",2017,Your Name,FUNimation,Drama,Original Screenplay,Digital Animation,Fantasy,0,292,292,978,1637510,5000181,6304579,349753002,354753183
